filename,brand,model,instance,shot,position_num,position_name,motive_num,motive_name,url
Agfa_DC-504_0_1.JPG,Agfa,DC-504,0,1,1,Ostra-Allee ,1,Zwinger crown gate,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Agfa_DC-504_0_1.JPG
Agfa_DC-733s_0_452.JPG,Agfa,DC-733s,0,452,1,Ostra-Allee ,1,Zwinger crown gate,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Agfa_DC-733s_0_452.JPG
Agfa_DC-733s_0_453.JPG,Agfa,DC-733s,0,453,1,Ostra-Allee ,1,Zwinger crown gate,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Agfa_DC-733s_0_453.JPG
Agfa_DC-733s_0_454.JPG,Agfa,DC-733s,0,454,1,Ostra-Allee ,1,Zwinger crown gate,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Agfa_DC-733s_0_454.JPG
Agfa_DC-830i_0_996.JPG,Agfa,DC-830i,0,996,1,Ostra-Allee ,1,Zwinger crown gate,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Agfa_DC-830i_0_996.JPG
Agfa_DC-830i_0_997.JPG,Agfa,DC-830i,0,997,1,Ostra-Allee ,1,Zwinger crown gate,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Agfa_DC-830i_0_997.JPG
Agfa_DC-830i_0_998.JPG,Agfa,DC-830i,0,998,1,Ostra-Allee ,1,Zwinger crown gate,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Agfa_DC-830i_0_998.JPG
Agfa_Sensor505-x_0_1620.JPG,Agfa,Sensor505-x,0,1620,1,Ostra-Allee ,1,Zwinger crown gate,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Agfa_Sensor505-x_0_1620.JPG
Agfa_Sensor530s_0_2033.JPG,Agfa,Sensor530s,0,2033,1,Ostra-Allee ,1,Zwinger crown gate,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Agfa_Sensor530s_0_2033.JPG
Agfa_Sensor530s_0_2034.JPG,Agfa,Sensor530s,0,2034,1,Ostra-Allee ,1,Zwinger crown gate,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Agfa_Sensor530s_0_2034.JPG
Agfa_Sensor530s_0_2035.JPG,Agfa,Sensor530s,0,2035,1,Ostra-Allee ,1,Zwinger crown gate,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Agfa_Sensor530s_0_2035.JPG
Canon_Ixus55_0_2625.JPG,Canon,Ixus55,0,2625,1,Ostra-Allee ,1,Zwinger crown gate,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Canon_Ixus55_0_2625.JPG
Canon_Ixus55_0_2626.JPG,Canon,Ixus55,0,2626,1,Ostra-Allee ,1,Zwinger crown gate,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Canon_Ixus55_0_2626.JPG
Canon_Ixus55_0_2627.JPG,Canon,Ixus55,0,2627,1,Ostra-Allee ,1,Zwinger crown gate,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Canon_Ixus55_0_2627.JPG
Canon_Ixus70_0_3258.JPG,Canon,Ixus70,0,3258,1,Ostra-Allee ,1,Zwinger crown gate,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Canon_Ixus70_0_3258.JPG
Canon_Ixus70_0_3259.JPG,Canon,Ixus70,0,3259,1,Ostra-Allee ,1,Zwinger crown gate,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Canon_Ixus70_0_3259.JPG
Canon_Ixus70_0_3260.JPG,Canon,Ixus70,0,3260,1,Ostra-Allee ,1,Zwinger crown gate,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Canon_Ixus70_0_3260.JPG
Canon_Ixus70_1_3695.JPG,Canon,Ixus70,1,3695,1,Ostra-Allee ,1,Zwinger crown gate,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Canon_Ixus70_1_3695.JPG
Canon_Ixus70_1_3696.JPG,Canon,Ixus70,1,3696,1,Ostra-Allee ,1,Zwinger crown gate,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Canon_Ixus70_1_3696.JPG
